EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
594|1.090112|0.300960|5.042400|2.634432
595|1.090112|0.301184|4.878720|2.703840
596|1.090112|0.300864|4.974048|2.594848
597|1.090112|0.296160|4.829856|2.620128
598|1.090112|0.300032|4.902272|2.687936
599|1.090112|0.295520|4.111840|2.632736
600|1.090112|0.300000|4.988832|2.628608
601|1.090112|0.298336|4.010976|2.671744
602|1.090112|0.303776|4.991200|2.573600
603|1.090112|0.301248|4.840256|2.614912
604|1.090112|0.299808|5.015360|2.612608
605|1.090112|0.303232|5.017312|2.643104
606|1.090112|0.301376|5.056320|2.654912
607|1.090112|0.297632|4.813280|2.675168
608|1.090112|0.301440|4.910560|2.616672
609|1.090112|0.303808|4.896064|2.622208
610|1.090112|0.298816|4.785024|2.624480
611|1.090112|0.302176|4.952736|2.611872
612|1.090112|0.297344|4.026208|2.683232
613|1.090112|0.300000|4.750272|2.705344
614|1.090112|0.301088|4.676448|2.725792
615|1.090112|0.302816|5.014784|2.678080
616|1.090112|0.298688|4.916256|2.663360
617|1.090112|0.297568|4.827232|2.657216
618|1.090112|0.297088|4.128128|2.631744
619|1.090112|0.304128|4.996960|2.629952
620|1.090112|0.308576|4.911904|2.698400
621|1.090112|0.305056|4.907520|2.637024
622|1.090112|0.297312|4.056928|2.630592
