EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
407|5.294912|0.145888|3.465920|1.860576
408|5.294912|0.143296|3.316192|1.871104
409|5.294912|0.147584|3.418656|1.886656
410|5.294912|0.142784|3.061120|1.852960
411|5.294912|0.143008|3.338656|1.872064
412|5.294912|0.145312|3.385152|1.865152
413|5.294912|0.141280|3.346208|1.851680
414|5.294912|0.147168|3.415808|1.869888
415|5.294912|0.145344|3.364672|1.864000
416|5.294912|0.147264|3.434688|1.867040
417|5.294912|0.143808|3.362304|1.854848
418|5.294912|0.147264|3.263744|1.867936
419|5.294912|0.171424|4.078432|2.296896
420|5.294912|0.178048|4.196704|2.297280
421|5.294912|0.179808|4.306976|2.307328
422|5.294912|0.176672|3.993024|2.323360
423|5.294912|0.180416|4.296480|2.301728
424|5.294912|0.175712|4.023104|2.308288
425|5.294912|0.173728|4.224448|2.312288
426|5.294912|0.176032|3.997440|2.323136
427|5.294912|0.183520|4.408928|2.305248
428|5.294912|0.177760|4.258528|2.305536
429|5.294912|0.178592|4.304416|2.298656
430|5.294912|0.176480|3.880800|2.322240
431|5.294912|0.175648|2.973088|2.298496
432|5.294912|0.176000|4.145312|2.321632
433|5.294912|0.172608|3.987840|2.331264
434|5.294912|0.181664|4.340064|2.341120
435|5.294912|0.176128|4.097920|2.317952
436|5.294912|0.178784|4.279776|2.312480
437|5.294912|0.179104|4.275808|2.322464
438|5.294912|0.179552|4.099744|2.303488
439|5.294912|0.175456|4.306496|2.313184
440|5.294912|0.177536|4.450720|2.298944
441|5.294912|0.189504|4.203904|2.302976
442|5.294912|0.177984|4.144576|2.318336
443|5.294912|0.175328|4.286080|2.335776
444|5.294912|0.177504|4.045024|2.294880
445|5.294912|0.180128|4.444960|2.329472
446|5.294912|0.179648|4.290656|2.326784
447|5.294912|0.177152|4.230496|2.318464
448|5.294912|0.180608|4.341056|2.310816
449|5.294912|0.177440|4.254272|2.320640
450|5.294912|0.178464|4.249632|2.323840
451|5.294912|0.179328|4.090240|2.323456
452|5.294912|0.176192|4.132704|2.304480
453|5.294912|0.178400|4.344768|2.303712
454|5.294912|0.179136|4.279392|2.330592
455|5.294912|0.176992|4.278816|2.318624
456|5.294912|0.175616|4.045824|2.309600
457|5.294912|0.174016|4.273152|2.318112
458|5.294912|0.179520|4.161856|2.305056
459|5.294912|0.176704|4.041760|2.309536
460|5.294912|0.177472|4.246592|2.311232
461|5.294912|0.172416|4.374656|2.315168
462|5.294912|0.180288|4.286624|2.323200
463|5.294912|0.179904|4.436192|2.314048
464|5.294912|0.176736|4.315392|2.320480
465|5.294912|0.176864|4.459968|2.323584
466|5.294912|0.177312|4.215040|2.308800
467|5.294912|0.177280|4.399232|2.306304
468|5.294912|0.179744|4.368544|2.320992
469|5.294912|0.177952|4.284000|2.294208
470|5.294912|0.177792|4.120480|2.322560
471|5.294912|0.177440|4.081760|2.308096
472|5.294912|0.176416|4.159648|2.307424
473|5.294912|0.175552|4.287936|2.320192
474|5.294912|0.177728|4.294560|2.310784
475|5.294912|0.179200|4.307328|2.337280
476|5.294912|0.177824|4.234464|2.312160
477|5.294912|0.176480|4.239584|2.301792
478|5.294912|0.179232|4.423936|2.314048
479|5.294912|0.173056|4.241120|2.304576
480|5.294912|0.178720|4.119680|2.318848
481|5.294912|0.177504|4.331232|2.308800
482|5.294912|0.180096|4.171936|2.311232
483|5.294912|0.179200|4.298656|2.317760
484|5.294912|0.175840|4.334880|2.300032
485|5.294912|0.176352|4.095040|2.312512
486|5.294912|0.172896|4.256288|2.312192
487|5.294912|0.175808|4.135808|2.307712
488|5.294912|0.181280|4.398016|2.308640
489|5.294912|0.179872|4.285536|2.327552
490|5.294912|0.175936|4.226560|2.312288
491|5.294912|0.178080|4.448224|2.329056
492|5.294912|0.178400|4.285056|2.310304
493|5.294912|0.179136|4.344352|2.312160
494|5.294912|0.177888|4.132288|2.320576
495|5.294912|0.178752|4.237216|2.298016
496|5.294912|0.177056|4.361600|2.331584
497|5.294912|0.172384|4.229376|2.324960
498|5.294912|0.171808|4.075136|2.313440
499|5.294912|0.177472|4.391840|2.313728
500|5.294912|0.175712|4.231008|2.314752
501|5.294912|0.178848|4.226432|2.329696
502|5.294912|0.176544|3.976960|2.328192
503|5.294912|0.180288|4.372160|2.312000
504|5.294912|0.176352|4.031168|2.311936
505|5.294912|0.177184|4.307040|2.309984
506|5.294912|0.184032|4.322880|2.310752
507|5.294912|0.179712|4.438368|2.315104
508|5.294912|0.177920|4.215680|2.329312
509|5.294912|0.180128|4.395040|2.308192
510|5.294912|0.178944|4.256384|2.305344
511|5.294912|0.177312|4.348320|2.318912
512|5.294912|0.179040|4.223680|2.327392
513|5.294912|0.178624|4.201216|2.304352
514|5.294912|0.180256|4.375392|2.317824
515|5.294912|0.178016|4.202016|2.311520
516|5.294912|0.181216|4.309184|2.314432
517|5.294912|0.176608|4.168608|2.314496
518|5.294912|0.180352|4.352832|2.328128
519|5.294912|0.178880|4.232416|2.315168
520|5.294912|0.178688|4.274400|2.325184
521|5.294912|0.180224|4.415648|2.319648
522|5.294912|0.175392|4.021888|2.310528
523|5.294912|0.176480|4.238496|2.316768
524|5.294912|0.179808|4.308512|2.336256
525|5.294912|0.178432|4.366272|2.315232
526|5.294912|0.178208|4.340160|2.318752
527|5.294912|0.179104|4.260832|2.351520
528|5.294912|0.176384|4.055776|2.308896
529|5.294912|0.180064|4.294080|2.309280
530|5.294912|0.184960|4.275360|2.311712
531|5.294912|0.177440|4.248256|2.314912
532|5.294912|0.176000|4.060352|2.349888
533|5.294912|0.179584|4.289248|2.312640
534|5.294912|0.180032|4.235552|2.312320
535|5.294912|0.176064|3.877088|2.313568
536|5.294912|0.178912|4.319520|2.307872
537|5.294912|0.177952|4.477856|2.330240
538|5.294912|0.171744|4.162656|2.305056
539|5.294912|0.178528|4.321664|2.322208
540|5.294912|0.177824|4.155776|2.334368
541|5.294912|0.180672|4.321248|2.310656
542|5.294912|0.176896|4.141760|2.307008
543|5.294912|0.178240|4.245984|2.326304
544|5.294912|0.187712|4.271232|2.310656
545|5.294912|0.177024|4.174912|2.320032
546|5.294912|0.179264|4.293792|2.323840
547|5.294912|0.170112|3.993600|2.310240
548|5.294912|0.179456|4.404480|2.318784
549|5.294912|0.175104|4.383424|2.315136
550|5.294912|0.178720|4.248768|2.318656
551|5.294912|0.175520|4.032704|2.334112
552|5.294912|0.171008|4.128896|2.320448
553|5.294912|0.177728|4.428640|2.325376
554|5.294912|0.180768|4.296544|2.327904
555|5.294912|0.177856|4.326048|2.315808
556|5.294912|0.174016|3.004576|2.317344
557|5.294912|0.180928|4.467744|2.311392
558|5.294912|0.177792|4.173216|2.322432
559|5.294912|0.177920|4.316640|2.322592
560|5.294912|0.173024|4.271168|2.318816
561|5.294912|0.177952|4.273504|2.330176
562|5.294912|0.171296|4.279008|2.323264
563|5.294912|0.179584|4.353728|2.304288
564|5.294912|0.181792|4.237408|2.326016
565|5.294912|0.177920|4.153952|2.310208
566|5.294912|0.177152|4.200224|2.313632
567|5.294912|0.179712|4.362752|2.303168
568|5.294912|0.176672|4.102272|2.345824
569|5.294912|0.175520|4.397152|2.330816
570|5.294912|0.179072|4.320448|2.307072
571|5.294912|0.176928|4.012096|2.332096
572|5.294912|0.174880|4.172928|2.323328
573|5.294912|0.171968|4.169600|2.336704
574|5.294912|0.180960|4.272384|2.309728
575|5.294912|0.176000|4.276288|2.314592
576|5.294912|0.176416|4.227936|2.334304
577|5.294912|0.180608|4.452960|2.316768
578|5.294912|0.177760|4.423040|2.316512
579|5.294912|0.179136|4.256224|2.323616
580|5.294912|0.177600|4.249824|2.317984
581|5.294912|0.178272|4.246688|2.356352
